track,artist,spotify_playlist,spotify_charts,spotify_streams,apple_playlist,deezer_playlist,deezer_charts,shazam_charts,datetime,is_outlier
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553.0,147.0,141381703.0,43.0,45.0,10.0,826.0,2023-07-14,False
LALA,Myke Towers,1474.0,48.0,133716286.0,48.0,58.0,14.0,382.0,2023-03-23,False
vampire,Olivia Rodrigo,1397.0,113.0,140003974.0,94.0,91.0,14.0,949.0,2023-06-30,False
Cruel Summer,Taylor Swift,7858.0,100.0,800840817.0,116.0,125.0,12.0,548.0,2019-08-23,False
WHERE SHE GOES,Bad Bunny,3133.0,50.0,303236322.0,84.0,87.0,15.0,425.0,2023-05-18,False
Sprinter,"Dave, Central Cee",2186.0,91.0,183706234.0,67.0,88.0,17.0,946.0,2023-06-01,False
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090.0,50.0,725980112.0,34.0,43.0,13.0,418.0,2023-03-16,False
Columbia,Quevedo,714.0,43.0,58149378.0,25.0,30.0,13.0,194.0,2023-07-07,False
fukumean,Gunna,1096.0,83.0,95217315.0,60.0,48.0,11.0,953.0,2023-05-15,False
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953.0,44.0,553634067.0,49.0,66.0,13.0,339.0,2023-03-17,False
un x100to,"Bad Bunny, Grupo Frontera",2876.0,40.0,505671438.0,41.0,54.0,12.0,251.0,2023-04-17,False
Super Shy,NewJeans,422.0,55.0,58255150.0,37.0,21.0,5.0,168.0,2023-07-07,False
Flowers,Miley Cyrus,12211.0,115.0,1316855716.0,300.0,745.0,58.0,1021.0,2023-01-12,False
Daylight,David Kushner,3528.0,98.0,387570742.0,80.0,182.0,24.0,1281.0,2023-04-14,False
As It Was,Harry Styles,23575.0,130.0,2513188493.0,403.0,863.0,46.0,2.0,2022-03-31,False
Kill Bill,SZA,8109.0,77.0,1163093654.0,183.0,161.0,12.0,187.0,2022-12-08,False
Cupid - Twin Ver.,Fifty Fifty,2942.0,77.0,496795686.0,91.0,78.0,6.0,0.0,2023-02-24,False
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,873.0,104.0,30546883.0,80.0,95.0,24.0,1173.0,2023-07-13,False
Classy 101,"Feid, Young Miko",2610.0,40.0,335222234.0,43.0,54.0,14.0,187.0,2023-03-31,False
Like Crazy,Jimin,596.0,68.0,363369738.0,8.0,23.0,2.0,29.0,2023-03-24,False
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332.0,26.0,86444842.0,11.0,10.0,4.0,0.0,2023-06-22,False
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,516.0,38.0,52135248.0,73.0,42.0,1.0,150.0,2023-07-07,False
I Wanna Be Yours,Arctic Monkeys,12859.0,110.0,1297026226.0,24.0,582.0,2.0,73.0,2013-01-01,False
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313.0,40.0,200647221.0,17.0,32.0,11.0,139.0,2023-05-31,False
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945.0,87.0,115364561.0,74.0,87.0,14.0,1093.0,2023-06-02,False
SABOR FRESA,Fuerza Regida,250.0,26.0,78300654.0,16.0,10.0,5.0,168.0,2023-06-22,False
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",7112.0,77.0,899183384.0,202.0,318.0,38.0,96.0,2022-03-25,False
MOJABI GHOST,"Tainy, Bad Bunny",859.0,40.0,61245289.0,35.0,41.0,14.0,211.0,2023-06-29,False
Last Night,Morgan Wallen,2420.0,19.0,429829812.0,52.0,15.0,1.0,325.0,2023-01-31,False
Dance The Night (From Barbie The Album),Dua Lipa,2988.0,101.0,127408954.0,0.0,143.0,38.0,0.0,2023-05-25,False
Rush,Troye Sivan,864.0,78.0,22581161.0,71.0,50.0,1.0,294.0,2023-07-13,False
TULUM,"Peso Pluma, Grupo Frontera",266.0,34.0,52294266.0,20.0,13.0,8.0,197.0,2023-06-28,False
Creepin',"The Weeknd, 21 Savage, Metro Boomin",6036.0,88.0,843957510.0,113.0,245.0,23.0,27.0,2022-12-02,False
Anti-Hero,Taylor Swift,9082.0,56.0,999748277.0,242.0,165.0,9.0,310.0,2022-10-21,False
TQG,"Karol G, Shakira",4284.0,49.0,618990393.0,115.0,184.0,18.0,354.0,2023-02-23,False
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150.0,31.0,123122413.0,22.0,34.0,7.0,184.0,2023-06-01,False
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",672.0,34.0,188933502.0,19.0,24.0,9.0,212.0,2023-04-07,False
Blank Space,Taylor Swift,11434.0,53.0,1355959075.0,154.0,410.0,2.0,81.0,2014-01-01,False
Style,Taylor Swift,7830.0,42.0,786181836.0,94.0,151.0,4.0,82.0,2014-01-01,False
TQM,Fuerza Regida,584.0,28.0,176553476.0,16.0,15.0,6.0,100.0,2023-05-19,False
El Azul,"Junior H, Peso Pluma",692.0,25.0,354495408.0,10.0,6.0,3.0,62.0,2023-02-10,False
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",24094.0,78.0,2808096550.0,372.0,843.0,4.0,69.0,2018-10-09,False
I'm Good (Blue),"Bebe Rexha, David Guetta",12482.0,80.0,1109433169.0,291.0,537.0,45.0,727.0,2022-08-26,False
See You Again,"Tyler, The Creator, Kali Uchis",13387.0,64.0,1047101291.0,77.0,247.0,1.0,311.0,2017-07-21,False
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",1117.0,80.0,65156199.0,82.0,65.0,16.0,1133.0,2023-06-23,False
Angels Like You,Miley Cyrus,3372.0,19.0,570515054.0,65.0,138.0,1.0,102.0,2020-11-27,False
I Ain't Worried,OneRepublic,8431.0,76.0,1085685420.0,241.0,458.0,37.0,332.0,2022-05-13,False
Die For You,The Weeknd,2483.0,59.0,1647990401.0,68.0,24.0,0.0,259.0,2016-11-24,False
Starboy,"The Weeknd, Daft Punk",29536.0,79.0,2565529693.0,281.0,2445.0,1.0,140.0,2016-09-21,False
Die For You - Remix,"Ariana Grande, The Weeknd",3408.0,47.0,518745108.0,87.0,74.0,1.0,16.0,2023-02-24,False
El Cielo,"Feid, Myke Towers, Sky Rompiendo",1298.0,38.0,107753850.0,44.0,57.0,10.0,110.0,2023-06-02,False
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",4277.0,66.0,177740666.0,145.0,213.0,11.0,810.0,2023-04-06,False
AMARGURA,Karol G,1133.0,39.0,153372011.0,14.0,23.0,10.0,176.0,2023-02-24,False
(It Goes Like) Nanana - Edit,Peggy Gou,2259.0,59.0,57876440.0,0.0,109.0,17.0,0.0,2023-06-15,False
Another Love,Tom Odell,18371.0,83.0,1813673666.0,250.0,3394.0,19.0,2.0,2012-10-15,False
Blinding Lights,The Weeknd,43899.0,69.0,3703895074.0,672.0,3421.0,20.0,2.0,2019-11-29,False
Moonlight,Kali Uchis,2649.0,42.0,256483385.0,67.0,57.0,1.0,615.0,2023-02-24,False
La Bachata,Manuel Turizo,6804.0,45.0,1214083358.0,139.0,161.0,15.0,210.0,2022-05-26,False
S91,Karol G,525.0,41.0,16011326.0,34.0,39.0,6.0,216.0,2023-07-14,False
cardigan,Taylor Swift,7923.0,29.0,812019557.0,106.0,142.0,4.0,215.0,2020-07-24,False
Tï¿½ï¿,"dennis, MC Kevin o Chris",731.0,15.0,111947664.0,27.0,73.0,4.0,167.0,2023-05-04,False
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",5184.0,41.0,156338624.0,154.0,102.0,14.0,37.0,2023-02-03,False
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3107.0,39.0,720434240.0,38.0,4.0,0.0,0.0,2022-06-24,False
BESO,"Rauw Alejandro, ROSALï¿½",4053.0,50.0,357925728.0,82.0,182.0,12.0,171.0,2023-03-24,False
Hey Mor,"Ozuna, Feid",4637.0,38.0,674072710.0,63.0,89.0,11.0,16.0,2022-10-06,False
Yellow,Chris Molitor,31358.0,43.0,1755214421.0,196.0,4053.0,5.0,0.0,1999-01-01,False
Karma,Taylor Swift,3818.0,23.0,404562836.0,37.0,32.0,0.0,272.0,2022-10-21,False
People,Libianca,3506.0,56.0,373199958.0,105.0,169.0,8.0,529.0,2022-12-02,False
Overdrive,Post Malone,410.0,36.0,14780425.0,36.0,31.0,1.0,26.0,2023-07-14,False
Enchanted (Taylor's Version),Taylor Swift,148.0,24.0,39578178.0,32.0,8.0,2.0,5.0,2023-07-07,False
BABY HELLO,"Rauw Alejandro, Bizarrap",1004.0,35.0,54266102.0,42.0,58.0,3.0,169.0,2023-06-23,False
Heat Waves,Glass Animals,22543.0,63.0,2557975762.0,386.0,707.0,28.0,2.0,2020-06-28,False
golden hour,JVKE,4511.0,36.0,751134527.0,70.0,109.0,18.0,230.0,2022-07-15,False
Sweater Weather,The Neighbourhood,16413.0,61.0,2282771485.0,166.0,1056.0,1.0,2.0,2012-05-14,False
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",8506.0,45.0,1356565093.0,94.0,164.0,14.0,176.0,2022-07-06,False
Viva La Vida,Coldplay,33898.0,62.0,1592909789.0,233.0,4095.0,9.0,0.0,2008-01-01,False
Here With Me,d4vd,3246.0,23.0,635412045.0,94.0,68.0,1.0,84.0,2022-07-17,False
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",8576.0,42.0,1230675890.0,216.0,331.0,26.0,154.0,2022-09-22,False
Yandel 150,"Yandel, Feid",3618.0,38.0,585695368.0,47.0,80.0,14.0,194.0,2022-12-20,False
CORAZï¿½ï¿½N VA,Maria Becerra,370.0,20.0,43857627.0,12.0,18.0,4.0,93.0,2023-06-22,False
Riptide,Vance Joy,31123.0,55.0,2009094673.0,300.0,1003.0,1.0,0.0,1975-01-01,False
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2790.0,30.0,600976848.0,60.0,71.0,0.0,115.0,2022-04-22,False
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",267.0,9.0,39709092.0,9.0,25.0,2.0,72.0,2023-06-23,False
Back To December (Taylor's Version),Taylor Swift,139.0,17.0,39228929.0,16.0,5.0,0.0,8.0,2023-07-07,False
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",17050.0,36.0,2665343922.0,492.0,798.0,31.0,0.0,2021-07-09,False
El Merengue,"Marshmello, Manuel Turizo",2114.0,44.0,223633238.0,80.0,110.0,11.0,323.0,2023-03-03,False
Someone You Loved,Lewis Capaldi,17836.0,53.0,2887241814.0,440.0,1800.0,0.0,2.0,2018-11-08,False
Me Porto Bonito,"Chencho Corleone, Bad Bunny",8870.0,43.0,1440757818.0,104.0,141.0,26.0,49.0,2022-05-06,False
Makeba,Jain,6060.0,53.0,165484133.0,150.0,2703.0,22.0,1451.0,2015-06-22,False
MONTAGEM - FR PUNK,"Ayparia, unxbected",641.0,50.0,58054811.0,1.0,8.0,0.0,1170.0,2012-06-20,False
Fast Car,Luke Combs,1446.0,12.0,157058870.0,57.0,35.0,0.0,429.0,2023-03-24,False
What It Is (Solo Version),Doechii,804.0,25.0,95131998.0,29.0,24.0,0.0,162.0,2023-03-17,False
Coco Chanel,"Bad Bunny, Eladio Carrion",1962.0,38.0,250305248.0,28.0,29.0,5.0,82.0,2023-03-17,False
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,4875.0,23.0,685032533.0,19.0,0.0,0.0,10.0,2017-11-08,False
Still With You,Jung Kook,31.0,39.0,38411956.0,2.0,8.0,0.0,0.0,2020-06-05,False
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2175.0,23.0,144565150.0,69.0,69.0,2.0,478.0,2023-05-12,False
Say Yes To Heaven,Lana Del Rey,2000.0,46.0,127567540.0,49.0,63.0,1.0,0.0,2023-03-17,False
Snooze,SZA,2839.0,25.0,399686758.0,58.0,42.0,1.0,236.0,2022-12-09,False
Summertime Sadness,Lana Del Rey,20333.0,52.0,983637508.0,89.0,1632.0,3.0,200.0,2011-01-01,False
Take Two,BTS,674.0,47.0,118482347.0,20.0,25.0,4.0,78.0,2023-06-09,False
Lover,Taylor Swift,8448.0,23.0,882831184.0,160.0,163.0,0.0,5.0,2012-01-01,False
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2110.0,58.0,286400165.0,17.0,19.0,2.0,266.0,2022-12-02,False
Chemical,Post Malone,2528.0,39.0,172825906.0,56.0,59.0,3.0,486.0,2023-04-14,False
Mockingbird,Eminem,12985.0,61.0,1241559043.0,49.0,2394.0,5.0,204.0,2004-01-01,False
New Jeans,NewJeans,77.0,35.0,29562220.0,8.0,4.0,4.0,34.0,2023-07-07,False
Primera Cita,Carin Leon,266.0,27.0,77309611.0,6.0,6.0,6.0,202.0,2022-04-20,False
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",21097.0,52.0,1605224506.0,384.0,1034.0,37.0,312.0,2017-11-10,False
Dandelions,Ruth B.,3423.0,21.0,1116995633.0,41.0,59.0,1.0,32.0,2017-04-28,False
Bones,Imagine Dragons,4198.0,44.0,838079900.0,98.0,327.0,17.0,153.0,2021-03-11,False
Set Fire to the Rain,Adele,14739.0,43.0,1163620694.0,88.0,2163.0,5.0,519.0,2011-01-01,False
Money Trees,"Kendrick Lamar, Jay Rock",26792.0,32.0,1093605526.0,69.0,695.0,0.0,458.0,2012-01-01,False
Tak Segampang Itu,Anggi Marito,213.0,6.0,179659294.0,7.0,0.0,0.0,48.0,2022-12-02,False
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",58.0,18.0,39058561.0,2.0,4.0,2.0,184.0,2023-06-22,False
Mine (Taylor's Version),Taylor Swift,99.0,15.0,36912123.0,21.0,6.0,1.0,0.0,2023-07-07,False
Everybody Wants To Rule The World,Tears For Fears,41751.0,25.0,1205951614.0,101.0,2655.0,0.0,666.0,1985-02-17,False
No Role Modelz,J. Cole,21164.0,36.0,1791000570.0,80.0,476.0,0.0,14.0,2014-12-09,False
Tattoo,Loreen,2988.0,59.0,201660859.0,74.0,145.0,18.0,925.0,2023-02-25,False
Rara Vez,"Taiu, Milo j",893.0,38.0,248088961.0,19.0,24.0,3.0,88.0,2023-02-08,False
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1094.0,34.0,90839753.0,40.0,47.0,8.0,203.0,2023-05-12,False
august,Taylor Swift,7324.0,22.0,607123776.0,25.0,61.0,1.0,44.0,2020-07-24,False
LUNA,"Junior H, Peso Pluma",201.0,11.0,55842345.0,19.0,8.0,1.0,74.0,2023-06-22,False
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5120.0,48.0,211050784.0,161.0,246.0,9.0,638.0,2023-03-10,False
Nonsense,Sabrina Carpenter,2346.0,27.0,342897938.0,69.0,38.0,8.0,64.0,2022-07-15,False
Que Vuelvas,"Carin Leon, Grupo Frontera",763.0,26.0,2762.0,21.0,21.0,9.0,71.0,2022-12-09,False
Por las Noches,Peso Pluma,457.0,24.0,330346424.0,8.0,4.0,3.0,2.0,2021-06-11,False
Feliz Cumpleaï¿½ï¿½os Fe,Feid,3430.0,38.0,601863821.0,45.0,52.0,4.0,3.0,2022-08-19,False
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",6074.0,52.0,1953533826.0,201.0,6551.0,2.0,0.0,2011-08-16,False
Watermelon Sugar,Harry Styles,21915.0,34.0,2322580122.0,437.0,1212.0,12.0,2.0,2019-11-17,False
lovely - Bonus Track,"Billie Eilish, Khalid",15032.0,30.0,2355719893.0,221.0,1078.0,2.0,136.0,2017-08-11,False
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",871.0,32.0,66902503.0,25.0,32.0,5.0,88.0,2023-06-21,False
Queencard,(G)I-DLE,451.0,33.0,96273746.0,10.0,7.0,0.0,148.0,2023-05-15,False
OMG,NewJeans,1783.0,27.0,430977451.0,26.0,15.0,1.0,22.0,2023-01-02,False
Radio,Lana Del Rey,9389.0,46.0,284819874.0,24.0,282.0,3.0,368.0,2011-01-01,False
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",5724.0,44.0,721975598.0,119.0,254.0,29.0,22.0,2023-01-11,False
505,Arctic Monkeys,13985.0,25.0,1217120710.0,30.0,588.0,1.0,1.0,2007-04-20,False
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",1051.0,16.0,109276132.0,31.0,31.0,0.0,189.0,2023-06-02,False
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",1682.0,46.0,276259178.0,24.0,30.0,1.0,176.0,2022-12-02,False
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",182.0,8.0,54225632.0,3.0,1.0,0.0,52.0,2023-05-22,False
Perfect,Ed Sheeran,16596.0,13.0,2559529074.0,7.0,2094.0,0.0,0.0,2017-01-01,False
Romantic Homicide,d4vd,2335.0,23.0,681583126.0,82.0,50.0,0.0,9.0,2022-07-20,False
Believer,Imagine Dragons,18986.0,23.0,2594040133.0,250.0,2969.0,10.0,31.0,2017-01-31,False
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",283.0,7.0,81102253.0,6.0,26.0,1.0,66.0,2023-05-19,False
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",293.0,8.0,11956641.0,5.0,30.0,2.0,66.0,2023-06-01,False
Without Me,Eminem,21081.0,43.0,1687664027.0,98.0,3889.0,5.0,0.0,2002-01-01,False
QUEMA,"Sog, Ryan Castro, Peso Pluma",437.0,31.0,11599388.0,17.0,26.0,3.0,208.0,2023-07-13,False
Stargirl Interlude,"The Weeknd, Lana Del Rey",1275.0,32.0,611700552.0,13.0,5.0,0.0,1.0,2016-11-24,False
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",6135.0,38.0,1133865788.0,71.0,99.0,13.0,28.0,2022-05-06,False
Somewhere Only We Know,Keane,20015.0,16.0,1089402494.0,107.0,5239.0,0.0,558.0,2004-01-01,False
Those Eyes,New West,1507.0,14.0,411747614.0,24.0,44.0,1.0,195.0,2019-05-10,False
El Gordo Trae El Mando,Chino Pacas,539.0,21.0,255932395.0,7.0,4.0,2.0,13.0,2023-01-27,False
Mi Bello Angel,Natanael Cano,86.0,8.0,31873544.0,7.0,3.0,1.0,93.0,2023-06-30,False
Bye,Peso Pluma,324.0,14.0,95053634.0,13.0,8.0,2.0,60.0,2023-05-26,False
Danza Kuduro,"Don Omar, Lucenzo",17138.0,37.0,1279434863.0,119.0,974.0,1.0,503.0,2010-01-01,False
Nosso Quadro,"Ana Castela, AgroPlay",894.0,9.0,233801632.0,14.0,66.0,3.0,72.0,2023-02-02,False
Locked Out Of Heaven,Bruno Mars,1622.0,9.0,1481349984.0,0.0,356.0,0.0,0.0,2012-12-05,False
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",561.0,14.0,142095275.0,4.0,12.0,5.0,56.0,2023-04-04,False
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",5871.0,27.0,618885532.0,81.0,58.0,1.0,34.0,2022-06-17,False
Counting Stars,OneRepublic,29215.0,43.0,2011464183.0,179.0,3394.0,11.0,153.0,2013-01-01,False
Ghost,Justin Bieber,5866.0,24.0,1167330737.0,107.0,95.0,0.0,2.0,2021-03-19,False
Under The Influence,Chris Brown,3859.0,26.0,929964809.0,133.0,3.0,0.0,2.0,2019-10-04,False
PRC,"Natanael Cano, Peso Pluma",961.0,26.0,436027885.0,19.0,10.0,6.0,15.0,2023-01-23,False
Gasolina,Daddy Yankee,6457.0,18.0,657723613.0,98.0,453.0,0.0,454.0,2004-07-13,False
One Dance,"Drake, WizKid, Kyla",43257.0,24.0,2713922350.0,433.0,3631.0,0.0,26.0,2016-04-04,False
Enchanted,Taylor Swift,4564.0,16.0,621660989.0,24.0,113.0,0.0,40.0,2010-01-01,False
Save Your Tears,The Weeknd,12688.0,13.0,1591223784.0,197.0,112.0,0.0,200.0,2020-03-20,False
Sure Thing,Miguel,13801.0,19.0,950906471.0,137.0,435.0,6.0,285.0,2010-05-25,False
Every Breath You Take - Remastered 2003,The Police,22439.0,19.0,1593270737.0,211.0,929.0,0.0,129.0,1983-01-06,False
The Night We Met,Lord Huron,18515.0,35.0,1410088830.0,70.0,939.0,1.0,162.0,2015-02-02,False
We Found Love,"Rihanna, Calvin Harris",36843.0,21.0,1235005533.0,321.0,4607.0,1.0,58.0,2011-01-01,False
When I Was Your Man,Bruno Mars,2420.0,11.0,1661187319.0,0.0,806.0,0.0,0.0,2012-12-05,False
Let Me Down Slowly,Alec Benjamin,5897.0,19.0,1374581173.0,0.0,885.0,0.0,0.0,2018-05-25,False
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",727.0,16.0,94186466.0,17.0,28.0,1.0,44.0,2023-06-02,False
Do I Wanna Know?,Arctic Monkeys,33783.0,26.0,1788326445.0,133.0,2733.0,1.0,26.0,2013-01-01,False
Demons,Imagine Dragons,26694.0,13.0,1840364617.0,65.0,3425.0,4.0,13.0,2012-01-01,False
ýýýýýýýýýýýý,YOASOBI,356.0,16.0,143573775.0,35.0,8.0,1.0,117.0,2023-04-12,False
Reminder,The Weeknd,6518.0,17.0,684675814.0,45.0,238.0,1.0,47.0,2016-11-25,False
Shake It Off,Taylor Swift,21335.0,13.0,1113838873.0,328.0,1378.0,9.0,20.0,2014-01-01,False
Why'd You Only Call Me When You're High?,Arctic Monkeys,23389.0,29.0,1267333350.0,54.0,1089.0,2.0,1.0,2013-01-01,False
SNAP,Rosa Linn,3202.0,18.0,726307468.0,148.0,226.0,24.0,0.0,2022-03-19,False
Shape of You,Ed Sheeran,32181.0,10.0,3562543890.0,33.0,6808.0,7.0,0.0,2017-01-06,False
Night Changes,One Direction,7124.0,18.0,1131090940.0,60.0,2.0,0.0,2.0,2014-11-17,False
Fin de Semana,"Oscar Maydon, Junior H",592.0,14.0,307370144.0,11.0,6.0,1.0,30.0,2023-01-13,False
Creep,Radiohead,36724.0,7.0,1271293243.0,146.0,6807.0,5.0,80.0,1992-09-21,False
Car's Outside,James Arthur,794.0,10.0,265882712.0,38.0,61.0,0.0,263.0,2019-10-18,False
Apocalypse,Cigarettes After Sex,13091.0,17.0,841749534.0,61.0,790.0,2.0,116.0,2017-03-21,False
Cheques,Shubh,67.0,8.0,47956378.0,7.0,0.0,0.0,57.0,2023-05-19,False
Pink + White,Frank Ocean,21574.0,30.0,806397070.0,112.0,266.0,1.0,39.0,2016-08-20,False
Circles,Post Malone,19664.0,16.0,2132335812.0,391.0,633.0,3.0,37.0,2019-08-30,False
Just The Way You Are,Bruno Mars,21106.0,13.0,1641426668.0,82.0,2946.0,0.0,0.0,2010-01-01,False
Take Me To Church,Hozier,23804.0,31.0,2135158446.0,187.0,4623.0,1.0,0.0,2013-09-13,False
Bebe Dame,"Fuerza Regida, Grupo Frontera",849.0,22.0,367316268.0,27.0,21.0,7.0,111.0,2022-12-16,False
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2619.0,12.0,350381515.0,47.0,1.0,0.0,7.0,2021-04-09,False
Titi Me Preguntï¿,Bad Bunny,9037.0,42.0,1264310836.0,124.0,139.0,14.0,166.0,2022-05-06,False
Better Than Revenge (Taylor's Version),Taylor Swift,86.0,11.0,30343206.0,3.0,3.0,0.0,1.0,2023-07-07,False
Shut up My Moms Calling,Hotel Ugly,1788.0,14.0,405136812.0,1.0,19.0,0.0,19.0,2020-02-10,False
Have You Ever Seen The Rain?,Creedence Clearwater Revival,15890.0,14.0,1145727611.0,71.0,653.0,0.0,167.0,1968-07-01,False
Es un Secreto,Plan B,492.0,36.0,540654286.0,4.0,19.0,0.0,0.0,2010-07-20,False
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",773.0,33.0,57312735.0,20.0,21.0,8.0,99.0,2023-06-08,False
Ditto,NewJeans,1154.0,22.0,397582059.0,28.0,11.0,1.0,51.0,2022-12-19,False
Take On Me,a-ha,44927.0,17.0,1479115056.0,34.0,5108.0,6.0,0.0,1984-10-19,False
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",551.0,4.0,86773632.0,13.0,20.0,1.0,10.0,2023-06-02,False
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",577.0,14.0,133753727.0,22.0,15.0,1.0,0.0,2023-05-01,False
Acrï¿½ï¿½s,Shakira,955.0,29.0,123124076.0,37.0,79.0,11.0,31.0,2023-05-11,False
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",995.0,19.0,463564958.0,12.0,9.0,5.0,3.0,2022-11-24,False
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",178.0,6.0,64533040.0,6.0,1.0,0.0,31.0,2023-05-15,False
S-Class,Stray Kids,290.0,19.0,65496046.0,9.0,5.0,0.0,73.0,2023-06-02,False
Hits Different,Taylor Swift,547.0,0.0,68616963.0,15.0,6.0,0.0,0.0,2023-05-26,False
Chanel,"Becky G, Peso Pluma",681.0,10.0,161460990.0,15.0,21.0,2.0,26.0,2023-03-30,False
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",332.0,5.0,70106975.0,18.0,5.0,0.0,19.0,2023-06-02,False
Area Codes,"Kaliii, Kaliii",1197.0,13.0,113509496.0,44.0,25.0,1.0,171.0,2023-03-17,False
Abcdario,"Junior H, Eden Muï¿½ï",262.0,5.0,89933133.0,8.0,4.0,1.0,109.0,2023-05-13,False
Obsessed,"Abhijay Sharma, Riar Saab",161.0,6.0,71007139.0,10.0,2.0,0.0,42.0,2022-09-29,False
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",185.0,3.0,43522589.0,5.0,4.0,1.0,33.0,2023-06-02,False
FLOWER,JISOO,839.0,18.0,232896922.0,20.0,20.0,0.0,69.0,2023-03-31,False
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",259.0,0.0,37126685.0,5.0,5.0,0.0,0.0,2023-06-02,False
Eyes Closed,Ed Sheeran,2915.0,30.0,195576623.0,116.0,107.0,3.0,675.0,2023-03-23,False
Escapism.,"RAYE, 070 Shake",5129.0,25.0,532336353.0,116.0,114.0,18.0,348.0,2022-10-12,False
La Jumpa,"Arcangel, Bad Bunny",3794.0,34.0,538115192.0,47.0,53.0,10.0,8.0,2022-11-30,False
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",588.0,0.0,46142772.0,23.0,31.0,0.0,0.0,2023-05-26,False
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2959.0,16.0,401036314.0,41.0,38.0,0.0,36.0,2022-12-02,False
Las Morras,"BLESSD, Peso Pluma",291.0,8.0,127026613.0,8.0,4.0,1.0,1.0,2023-04-04,False
